timestamp,speaker,words,tags
[5:22],Roy B. Adams,"Another thing we used to do, is we'd go to the railroad tracks. When the train stopped to take on water, we'd jump on the coal car, which was normally in the back, and throw off the coal, and when the train pulled off, we'd pick it up, take it home, and burn it. That's how we heated our houses at times.",mischief
[5:42],R. Brian Adams,"Ok, so how far did you have to travel to get to school, and how did you get there?",school
[5:47],Roy B. Adams,"Well, I walked, and the elementary school was about five miles, round trip. The highschool I attended was about three and a half miles. In the wintertime, my mother used to give me a baked potato, and I would hold it in my hands to keep them warm, and when I got to school, I had to eat the potato at recess or lunch time and all.",school
[6:15],R. Brian Adams,"So, did you go to ball games as a boy?",baseball
[6:17],Roy B. Adams,"Yes, I did. When I was in elementary school, I belonged to what they call the ""Chickasaw Buddies"" and what that was, we had a little beanie cap that had ""Chickasaw Buddies"" on it. Every Wednesday when the Memphis Chicks, which was a Triple-A team, would play at Rushwood Park, the school would let us out early and we'd walk about three or four blocks to the park and watch the ball game. We paid 50 cents for the little cap, and we had a little card that said ""Chickasaw Buddy, Rooter for the Memphis Chicks"".",baseball;hats
[6:55],Roy B. Adams,"Another time my dad took me to play, I'm sorry, took me to see a professional ball game. The Birmingham Barons were playng the Kansas City Monarchs. Satchel Paige was pitching for the Kansas City Monarchs and he struck out just about every batter. He never did tell his age, but when they finally allowed him in to play professional ball, they used to set him out in the dugout, or outside the dugout in a rocking chair. He threw the ball so hard that it looked like a golf ball coming up. He was a great pitcher and a credit to the ball game.",baseball
[7:38],R. Brian Adams,Tell me about your grandchildren and your great-grandchildren.,grandchildren;great-grandchildren
[7:41],Roy B. Adams,"There were seven grandchildren, and I'll name them for you: Heidi, Robert, Alexa, Emily, Layla, Sarah, and Spencer. The great-grandchildren were Mallory, Zach, Haily, Rachel, Jacob, and Reeve. But as far as I'm concerned, they were all great kids, and a credit to our family.",grandchildren;great-grandchildren
[8:15],R. Brian Adams,What are some words of wisdom you might give to your grandchildren?,grandchildren;great-grandchildren;advice
[8:19],Roy B. Adams,"Several. One would be look before you leap. Never count your chickens before they are hatched. Don't put all your eggs in one basket. If you throw dirt, you loose ground, and never give up. Remember in the bible it says that Moses was a basket case. [laughter]",grandchildren;great-grandchildren;advice
[8:45],Roy B. Adams,"I'm going to check at this time to see how observant you are, if you noticed that I have changed hats. The first hat I had on was my Navy cap, hat, as a World War II veteran, a radio operator. The next one I have on is the ""Old Dude"" hat, which is made up of achy breaky parts. I'll be 90 July the 3rd this year, and I'm not falling apart yet. [laughter]",hats
[9:18],R. Brian Adams,"Okay, tell us about one of the family's Christmas traditions.",Christmas
[9:23],Roy B. Adams,"The main one I can remember, and we still practice it today, and so does our family apart from me. We used to open our Christmas presents, one at a time, and it would usually take about three and a half hours. We would begin with the oldest and they would open the present saying who it was from. And the youngest one would pass out all the presents. Grannie always insisted that we tell who it was from, and we had bags that we put the wrappings in so that we wouldn't have to have a messy floor when we ended up. We always had a good time, and it was an enjoyable part of our Christmas day.",Christmas
[10:11],,"Outro, ""Get on Board Little Children"" plays",
